PrimaryDI|submissionNumber|supplementNumber
00842188120855|K192696|000
00842188120848|K192696|000
00842188120831|K192696|000
00842188120824|K192696|000
00842188120817|K192696|000
00842188120800|K192696|000
00842188120794|K192696|000
00842188120787|K192696|000
00842188120770|K192696|000
00842188120763|K192696|000
00842188120756|K192696|000
00842188120749|K192696|000
00842188120732|K192696|000
00842188120725|K192696|000
00842188120718|K192696|000
00842188120701|K192696|000
00842188120695|K192696|000
00842188120688|K192696|000
00842188120671|K192696|000
00842188120664|K192696|000
00842188120657|K192696|000
00842188120640|K192696|000
00842188120633|K192696|000
00842188120626|K192696|000
00842188120619|K192696|000
00842188120602|K192696|000
00842188120596|K192696|000
00842188120589|K192696|000
00842188120572|K192696|000
00842188120565|K192696|000
00842188120558|K192696|000
00842188120541|K192696|000
00842188120534|K192696|000
00842188120527|K192696|000
00842188120510|K192696|000
00842188120503|K192696|000
00842188120497|K192696|000
00842188120480|K192696|000
00842188120473|K192696|000
00842188120466|K192696|000
00842188120459|K192696|000
00842188120442|K192696|000
00842188120435|K192696|000
00842188120428|K192696|000
00842188120411|K192696|000
00842188120404|K192696|000
00842188120398|K192696|000
00842188120381|K192696|000
00842188120374|K192696|000
00842188120367|K192696|000
00842188120350|K192696|000
00842188120343|K192696|000
00842188120336|K192696|000
00842188120329|K192696|000
00842188120312|K192696|000
00842188120305|K192696|000
00842188120299|K192696|000
00842188120282|K192696|000
00842188120275|K192696|000
00842188120268|K192696|000
00842188120251|K192696|000
00842188120244|K192696|000
00842188120237|K192696|000
00842188120220|K192696|000
00842188120213|K192696|000
00842188120206|K192696|000
00842188120190|K192696|000
00842188120183|K192696|000
00842188120176|K192696|000
00842188120169|K192696|000
00842188120152|K192696|000
00842188120145|K192696|000
00842188120138|K192696|000
00842188120121|K192696|000
00842188120114|K192696|000
00842188120107|K192696|000
00842188120091|K192696|000
00842188120084|K192696|000
00842188120077|K192696|000
00842188120060|K192696|000
00842188120053|K192696|000
00842188120046|K192696|000
00842188120039|K192696|000
00842188120022|K192696|000
00842188120015|K192696|000
00842188120008|K192696|000
00842188119996|K192696|000
00842188119989|K192696|000
00842188119972|K192696|000
00842188119965|K192696|000
00842188119958|K192696|000
00842188119941|K192696|000
00842188119934|K192696|000
00842188119927|K192696|000
00842188119910|K192696|000
00842188119828|K151735|000
00842188119811|K151735|000
00842188119804|K151735|000
00842188119798|K151735|000
00842188119781|K951302|000
00842188119774|K951302|000
00842188119767|K951302|000
00842188119750|K951302|000
00842188119743|K951302|000
00842188119736|K951302|000
00842188119729|K951302|000
00842188119712|K951302|000
00842188119705|K951302|000
00842188119699|K951302|000
00842188119682|K060041|000
00842188119675|K060041|000
00842188119538|K060041|000
00842188119521|K060041|000
00842188119514|K060041|000
00842188119507|K060041|000
00842188119491|K060041|000
00842188119484|K060041|000
00842188119392|K060041|000
00842188119378|K050681|000
00842188119361|K050681|000
00842188119354|K050681|000
00842188119347|K050681|000
00842188119330|K050681|000
00842188119323|K050681|000
00842188119316|K050681|000
00842188119309|K050681|000
00842188119293|K050681|000
00842188119286|K050681|000
00842188119279|K050681|000
00842188119262|K050681|000
00842188119255|K050681|000
00842188119248|K050681|000
00842188119231|K050681|000
00842188119224|K050681|000
00842188119217|K050681|000
00842188119200|K050681|000
00842188119194|K050681|000
00842188119187|K050681|000
00842188119170|K050681|000
00842188119163|K050681|000
00842188119156|K050681|000
00842188119149|K050681|000
00842188119132|K050681|000
00842188119125|K050681|000
00842188119118|K050681|000
00842188119101|K050681|000
00842188119095|K050681|000
00842188119088|K050681|000
00842188119071|K050681|000
00842188119064|K050681|000
00842188119057|K050681|000
00842188119040|K050681|000
00842188119033|K050681|000
00842188119026|K050681|000
00842188119019|K050681|000
00842188119002|K050681|000
00842188118999|K050681|000
00842188118982|K050681|000
00842188118975|K050681|000
00842188118968|K050681|000
00842188118951|K050681|000
00842188118944|K050681|000
00842188118937|K050681|000
00842188118920|K050681|000
00842188118913|K050681|000
00842188118906|K050681|000
00842188118890|K050681|000
00842188118883|K050681|000
00842188118876|K050681|000
00842188118869|K050681|000
00842188118852|K050681|000
00842188118845|K050681|000
00842188118838|K050681|000
00842188118821|K050681|000
00842188118814|K050681|000
00842188118807|K050681|000
00842188118791|K050681|000
00842188118784|K050681|000
00842188118777|K050681|000
00842188118760|K050681|000
00842188118753|K050681|000
00842188118746|K050681|000
00842188118739|K050681|000
00842188118722|K050681|000
00842188118715|K050681|000
00842188118708|K050681|000
00842188118692|K050681|000
00842188118685|K050681|000
00842188118678|K050681|000
00842188118661|K050681|000
00842188118654|K050681|000
00842188118647|K050681|000
00842188118630|K050681|000
00842188118623|K050681|000
00842188118616|K050681|000
00842188118609|K050681|000
00842188118593|K050681|000
00842188118586|K050681|000
00842188118579|K050681|000
00842188118562|K050681|000
00842188118555|K050681|000
00842188118548|K050681|000
00842188118531|K050681|000
00842188118524|K050681|000
00842188118517|K050681|000
00842188118500|K050681|000
00842188118494|K050681|000
00842188118487|K050681|000
00842188118470|K050681|000
00842188118463|K050681|000
00842188118456|K050681|000
00842188118449|K050681|000
00842188118432|K050681|000
00842188118425|K050681|000
00842188118418|K050681|000
00842188118401|K050681|000
00842188118395|K050681|000
00842188118388|K050681|000
00842188118371|K050681|000
00842188118364|K050681|000
00842188118357|K050681|000
00842188118340|K050681|000
00842188118333|K050681|000
00842188118326|K050681|000
00842188118319|K050681|000
00842188118302|K050681|000
00842188118296|K050681|000
00842188118289|K050681|000
00842188118272|K050681|000
00842188118265|K050681|000
00842188118258|K050681|000
00842188118241|K050681|000
00842188118234|K050681|000
00842188118227|K050681|000
00842188118210|K050681|000
00842188118203|K050681|000
00842188118197|K050681|000
00842188118180|K050681|000
00842188118173|K050681|000
00842188118166|K050681|000
00842188118159|K050681|000
00842188118142|K050681|000
00842188118135|K050681|000
00842188118128|K050681|000
00842188118111|K050681|000
00842188118104|K050681|000
00842188118098|K050681|000
00842188118081|K050681|000
00842188118074|K050681|000
00842188118067|K050681|000
00842188118050|K050681|000
00842188118043|K050681|000
00842188118036|K050681|000
00842188118029|K050681|000
00842188118012|K050681|000
00842188118005|K050681|000
00842188117992|K050681|000
00842188117985|K050681|000
00842188117978|K050681|000
00842188117961|K050681|000
00842188117954|K050681|000
00842188117947|K050681|000
00842188117930|K050681|000
00842188117923|K050681|000
00842188117916|K050681|000
00842188117909|K050681|000
00842188117893|K050681|000
00842188117886|K050681|000
00842188117879|K050681|000
00842188117862|K050681|000
00842188117862|K192696|000
00842188117855|K050681|000
00842188117855|K192696|000
00842188117848|K050681|000
00842188117848|K192696|000
00842188117831|K050681|000
00842188117831|K192696|000
00842188117824|K050681|000
00842188117824|K192696|000
00842188117817|K050681|000
00842188117817|K192696|000
00842188117800|K050681|000
00842188117800|K192696|000
00842188117794|K050681|000
00842188117794|K192696|000
00842188117787|K050681|000
00842188117787|K192696|000
00842188117770|K050681|000
00842188117770|K192696|000
00842188117763|K050681|000
00842188117763|K192696|000
00842188117756|K050681|000
00842188117756|K192696|000
00842188117749|K050681|000
00842188117749|K192696|000
00842188117732|K050681|000
00842188117732|K192696|000
00842188117725|K050681|000
00842188117725|K192696|000
00842188117718|K050681|000
00842188117718|K192696|000
00842188117701|K050681|000
00842188117701|K192696|000
00842188117695|K050681|000
00842188117688|K050681|000
00842188117671|K050681|000
00842188117664|K050681|000
00842188117657|K050681|000
00842188117640|K050681|000
00842188117633|K050681|000
00842188117626|K050681|000
00842188117619|K050681|000
00842188117602|K050681|000
00842188117596|K050681|000
00842188117589|K050681|000
00842188117572|K050681|000
00842188117565|K050681|000
00842188117558|K050681|000
00842188117541|K050681|000
00842188117534|K050681|000
00842188117527|K050681|000
00842188117510|K050681|000
00842188117503|K050681|000
00842188117497|K050681|000
00842188117480|K050681|000
00842188117473|K050681|000
00842188117466|K050681|000
00842188117459|K050681|000
00842188117442|K050681|000
00842188117435|K050681|000
00842188117428|K050681|000
00842188117411|K050681|000
00842188117404|K050681|000
00842188117398|K050681|000
00842188117381|K050681|000
00842188117381|K192696|000
00842188117374|K050681|000
00842188117374|K192696|000
00842188117367|K050681|000
00842188117367|K192696|000
00842188117350|K050681|000
00842188117350|K192696|000
00842188117343|K050681|000
00842188117343|K192696|000
00842188117336|K050681|000
00842188117336|K192696|000
00842188117329|K050681|000
00842188117329|K192696|000
00842188117312|K050681|000
00842188117312|K192696|000
00842188117305|K050681|000
00842188117305|K192696|000
00842188117299|K050681|000
00842188117299|K192696|000
00842188117282|K050681|000
00842188117282|K192696|000
00842188117275|K050681|000
00842188117275|K192696|000
00842188117268|K050681|000
00842188117268|K192696|000
00842188117251|K050681|000
00842188117251|K192696|000
00842188117244|K050681|000
00842188117244|K192696|000
00842188117237|K050681|000
00842188117237|K192696|000
00842188117220|K050681|000
00842188117220|K192696|000
00842188117213|K050681|000
00842188117206|K050681|000
00842188117190|K050681|000
00842188117183|K050681|000
00842188117176|K050681|000
00842188117169|K050681|000
00842188117152|K050681|000
00842188117145|K050681|000
00842188117138|K050681|000
00842188117121|K050681|000
00842188117114|K050681|000
00842188117107|K050681|000
00842188117091|K050681|000
00842188117084|K050681|000
00842188117077|K050681|000
00842188117060|K050681|000
00842188117053|K050681|000
00842188117046|K050681|000
00842188117039|K050681|000
00842188117022|K050681|000
00842188117015|K050681|000
00842188117008|K050681|000
00842188116995|K050681|000
00842188116988|K050681|000
00842188116971|K050681|000
00842188116964|K050681|000
00842188116957|K050681|000
00842188116940|K050681|000
00842188116933|K050681|000
00842188116926|K050681|000
00842188116919|K050681|000
00842188116902|K050681|000
00842188116896|K050681|000
00842188116889|K050681|000
00842188116872|K050681|000
00842188116865|K050681|000
00842188116858|K050681|000
00842188116841|K050681|000
00842188116834|K050681|000
00842188116827|K050681|000
00842188116810|K050681|000
00842188116803|K050681|000
00842188116797|K050681|000
00842188116780|K050681|000
00842188116773|K050681|000
00842188116766|K050681|000
00842188116759|K050681|000
00842188116742|K050681|000
00842188116735|K050681|000
00842188116728|K050681|000
00842188116711|K050681|000
00842188116704|K050681|000
00842188116698|K050681|000
00842188116681|K050681|000
00842188116674|K050681|000
00842188116667|K050681|000
00842188116650|K060041|000
00842188116643|K060041|000
00842188116636|K060041|000
00842188116629|K050681|000
00842188116612|K050681|000
00842188116605|K050681|000
00842188116599|K050681|000
00842188116582|K050681|000
00842188116575|K050681|000
00842188116568|K050681|000
00842188116551|K050681|000
00842188116544|K050681|000
00842188116537|K050681|000
00842188116520|K050681|000
00842188116513|K050681|000
00842188116506|K050681|000
00842188116490|K050681|000
00842188116483|K050681|000
00842188116476|K050681|000
00842188116469|K050681|000
00842188116452|K050681|000
00842188116445|K050681|000
00842188116438|K050681|000
00842188116421|K050681|000
00842188116414|K050681|000
00842188116407|K050681|000
00842188116391|K050681|000
00842188116384|K050681|000
00842188116377|K050681|000
00842188116360|K050681|000
00842188116353|K050681|000
00842188116346|K050681|000
00842188116339|K050681|000
00842188116322|K050681|000
00842188116315|K050681|000
00842188116308|K050681|000
00842188116292|K050681|000
00842188116285|K050681|000
00842188116278|K050681|000
00842188116261|K050681|000
00842188116254|K050681|000
00842188116247|K050681|000
00842188116230|K050681|000
00842188116223|K050681|000
00842188116216|K050681|000
00842188116209|K050681|000
00842188116193|K050681|000
00842188116186|K050681|000
00842188116179|K050681|000
00842188116162|K050681|000
00842188116155|K050681|000
00842188116148|K050681|000
00842188116131|K050681|000
00842188116124|K050681|000
00842188116117|K050681|000
00842188116100|K050681|000
00842188116094|K050681|000
00842188116087|K050681|000
00842188116070|K050681|000
00842188116063|K050681|000
00842188116056|K050681|000
00842188116049|K050681|000
00842188116032|K050681|000
00842188116025|K050681|000
00842188116018|K050681|000
00842188116001|K050681|000
00842188115998|K050681|000
00842188115981|K050681|000
00842188115974|K050681|000
00842188115967|K050681|000
00842188115950|K050681|000
00842188115943|K050681|000
00842188115936|K050681|000
00842188115929|K050681|000
00842188115912|K050681|000
00842188115905|K050681|000
00842188115899|K050681|000
00842188115882|K050681|000
00842188115875|K050681|000
00842188115868|K050681|000
00842188115851|K050681|000
00842188115844|K050681|000
00842188115837|K050681|000
00842188115820|K050681|000
00842188115813|K050681|000
00842188115806|K050681|000
00842188115790|K050681|000
00842188115783|K050681|000
00842188115776|K050681|000
00842188115769|K050681|000
00842188115752|K050681|000
00842188115745|K050681|000
00842188115738|K050681|000
00842188115721|K050681|000
00842188115714|K050681|000
00842188115707|K050681|000
00842188115691|K050681|000
00842188115684|K050681|000
00842188115677|K050681|000
00842188115660|K050681|000
00842188115653|K050681|000
00842188115646|K050681|000
00842188115639|K050681|000
00842188115622|K050681|000
00842188115615|K050681|000
00842188115608|K050681|000
00842188115592|K050681|000
00842188115585|K050681|000
00842188115578|K050681|000
00842188115561|K050681|000
00842188115554|K050681|000
00842188115547|K050681|000
00842188115530|K050681|000
00842188115523|K050681|000
00842188115516|K050681|000
00842188115509|K050681|000
00842188115493|K050681|000
00842188115486|K050681|000
00842188115479|K050681|000
00842188115301|K151735|000
00842188115295|K151735|000
00842188115288|K151735|000
00842188115271|K151735|000
00842188115264|K151735|000
00842188115257|K151735|000
00842188115240|K151735|000
00842188115233|K151735|000
00842188115226|K151735|000
00842188115219|K151735|000
00842188115202|K151735|000
00842188115196|K151735|000
00842188115189|K151735|000
00842188115172|K151735|000
00842188115165|K151735|000
00842188115158|K151735|000
00842188115141|K151735|000
00842188115134|K151735|000
00842188115127|K151735|000
00842188115110|K151735|000
00842188115103|K151735|000
00842188115097|K151735|000
00842188115080|K151735|000
00842188115073|K151735|000
00842188115066|K151735|000
00842188115059|K151735|000
00842188115042|K151735|000
00842188115035|K151735|000
00842188115028|K151735|000
00842188115011|K151735|000
00842188115004|K151735|000
00842188114991|K151735|000
00842188114984|K151735|000
00842188114977|K151735|000
00842188114922|K050681|000
00842188114908|K951302|000
00842188114892|K951302|000
00842188114878|K060041|000
00842188114861|K060041|000
00842188114854|K060041|000
00842188114830|K060041|000
00842188114663|K951302|000
00842188114656|K951302|000
00842188114649|K951302|000
00842188114632|K951302|000
00842188114625|K951302|000
00842188114618|K951302|000
00842188114601|K951302|000
00842188114595|K951302|000
00842188114588|K951302|000
00842188114571|K951302|000
00842188114564|K951302|000
00842188114557|K951302|000
00842188114540|K951302|000
00842188114533|K951302|000
00842188114526|K951302|000
00842188114519|K951302|000
00842188114502|K951302|000
00842188114496|K951302|000
00842188114489|K951302|000
00842188114472|K951302|000
00842188114465|K951303|000
00842188114458|K951303|000
00842188114441|K951303|000
00842188114434|K951303|000
00842188114427|K951303|000
00842188114410|K951303|000
00842188114403|K951303|000
00842188114397|K951303|000
00842188114380|K951303|000
00842188114373|K951303|000
00842188114366|K951303|000
00842188114359|K951303|000
00842188114342|K951303|000
00842188114335|K951303|000
00842188114328|K951303|000
00842188114311|K951303|000
00842188114304|K951303|000
00842188114298|K951303|000
00842188114281|K951303|000
00842188114274|K951303|000
00842188114267|K951303|000
00842188114250|K951303|000
00842188114243|K951303|000
00842188114236|K951303|000
00842188114229|K951303|000
00842188114212|K951302|000
00842188114205|K951302|000
00842188114199|K951302|000
00842188114182|K951302|000
00842188114175|K040112|000
00842188114168|K040112|000
00842188114151|K040112|000
00842188114144|K040112|000
00842188114137|K040112|000
00842188114120|K040112|000
00842188114113|K040112|000
00842188114106|K040112|000
00842188114090|K040112|000
00842188114083|K040112|000
00842188114076|K040112|000
00842188114069|K040112|000
00842188114052|K040112|000
00842188114045|K040112|000
00842188114038|K040112|000
00842188114021|K040112|000
00842188114014|K040112|000
00842188114007|K040112|000
00842188113994|K060041|000
00842188113987|K060041|000
00842188113970|K060041|000
00842188113963|K060041|000
00842188113956|K060041|000
00842188113949|K060041|000
00842188113932|K112509|000
00842188113925|K112509|000
00842188113918|K112509|000
00842188113901|K112509|000
00842188113895|K112509|000
00842188113888|K112509|000
00842188113871|K112509|000
00842188113864|K112509|000
00842188113857|K112509|000
00842188113840|K112509|000
00842188113833|K112509|000
00842188113826|K112509|000
00842188113819|K112509|000
00842188113802|K951302|000
00842188113796|K951302|000
00842188113789|K951302|000
00842188113772|K951302|000
00842188113765|K951302|000
00842188113758|K951302|000
00842188113741|K951302|000
00842188113734|K951302|000
00842188109461|K951303|000
00842188109454|K951303|000
00842188109447|K951303|000
00842188109430|K951303|000
00842188109423|K951303|000
00842188109416|K951303|000
00842188109409|K951303|000
00842188109393|K951303|000
00842188109386|K951303|000
00842188109379|K951303|000
00842188109362|K951303|000
00842188109355|K951303|000
00842188109348|K951303|000
00842188109331|K951303|000
00842188109324|K951303|000
00842188109317|K050681|000
00842188109300|K050681|000
00842188109294|K050681|000
00842188109287|K050681|000
00842188109270|K050681|000
00842188109263|K951303|000
00842188109256|K951303|000
00842188109249|K951303|000
00842188109232|K010545|000
00842188109225|K060041|000
00842188109218|K060041|000
00842188109201|K951303|000
00842188109195|K951303|000
00842188109188|K951303|000
00842188109171|K951303|000
00842188109164|K951303|000
00842188109157|K951303|000
00842188109140|K951303|000
00842188109133|K951303|000
00842188109126|K951303|000
00842188109119|K951303|000
00842188109102|K951303|000
00842188109096|K010545|000
00842188109089|K010545|000
00842188109072|K010545|000
00842188109065|K010545|000
00842188109058|K010545|000
00842188109041|K010545|000
00842188108860|K951302|000
00842188108853|K951302|000
00842188108846|K951302|000
00842188108839|K951302|000
00842188108822|K951302|000
00842188108815|K951302|000
00842188108808|K951302|000
00842188108792|K951302|000
00842188108785|K951302|000
00842188108778|K951302|000
00842188108761|K951302|000
00842188108754|K951302|000
00842188108747|K951302|000
00842188108730|K951302|000
00842188108723|K951302|000
00842188108716|K951302|000
00842188108709|K951302|000
00842188108693|K951302|000
00842188108686|K951302|000
00842188108679|K951302|000
00842188108662|K951302|000
00842188108655|K951302|000
00842188108648|K951302|000
00842188108631|K951302|000
00842188108624|K951302|000
00842188108617|K951302|000
00842188108600|K951302|000
00842188108594|K951302|000
00842188108587|K951302|000
00842188108570|K951302|000
00842188108563|K951302|000
00842188108556|K951302|000
00842188108549|K951302|000
00842188108532|K951302|000
00842188108525|K951302|000
00842188108518|K951302|000
00842188108501|K951302|000
00842188108495|K951302|000
00842188108488|K951302|000
00842188108471|K951302|000
00842188108464|K951302|000
00842188108457|K951302|000
00842188108440|K951302|000
00842188108433|K951302|000
00842188108426|K951302|000
00842188108419|K951302|000
00842188108402|K951302|000
00842188108396|K951302|000
00842188108389|K951302|000
00842188108372|K951302|000
00842188108365|K951302|000
00842188108358|K951302|000
00842188108341|K951302|000
00842188108334|K951302|000
00842188108327|K951303|000
00842188108310|K951303|000
00842188108303|K951303|000
00842188108297|K951303|000
00842188108280|K050681|000
00842188108273|K050681|000
00842188108266|K050681|000
00842188108259|K050681|000
00842188108242|K050681|000
00842188108235|K050681|000
00842188108228|K050681|000
00842188108211|K050681|000
00842188108204|K050681|000
00842188108198|K050681|000
00842188108181|K050681|000
00842188108174|K050681|000
00842188108167|K050681|000
00842188108150|K050681|000
00842188108143|K050681|000
00842188108136|K050681|000
00842188108129|K050681|000
00842188108112|K050681|000
00842188108105|K050681|000
00842188108099|K050681|000
00842188108082|K050681|000
00842188108075|K050681|000
00842188108068|K050681|000
00842188108051|K050681|000
00842188108044|K050681|000
00842188108037|K050681|000
00842188108020|K050681|000
00842188108013|K050681|000
00842188108006|K050681|000
00842188107993|K050681|000
00842188107986|K050681|000
00842188107979|K050681|000
00842188107962|K050681|000
00842188107955|K050681|000
00842188107948|K050681|000
00842188107931|K050681|000
00842188107924|K050681|000
00842188107917|K050681|000
00842188107900|K050681|000
00842188107894|K050681|000
00842188107887|K050681|000
00842188107870|K050681|000
00842188107863|K050681|000
00842188107856|K050681|000
00842188107849|K050681|000
00842188107832|K050681|000
00842188107825|K050681|000
00842188107818|K050681|000
00842188107801|K050681|000
00842188107795|K050681|000
00842188107788|K050681|000
00842188107771|K050681|000
00842188107764|K050681|000
00842188107757|K050681|000
00842188107740|K050681|000
00842188107733|K050681|000
00842188107726|K050681|000
00842188107719|K050681|000
00842188107702|K050681|000
00842188107696|K050681|000
