PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
00842289101241|Needle Gauge|Gauge|16|
00842289101234|Length|Inch|1|
00842289101234|Needle Gauge|Gauge|16|
00842289101227|Length|Inch|1|
00842289101227|Needle Gauge|Gauge|16|
00842289101210|Length|Inch|1|
00842289101210|Needle Gauge|Gauge|15|
00842289101203|Length|Inch|1|
00842289101203|Needle Gauge|Gauge|15|
00842289101197|Length|Inch|1|
00842289101197|Needle Gauge|Gauge|15|
00842289100886|Needle Gauge|Gauge|16|
00842289100886|Length|Inch|1|
00842289100503|Length|Inch|1|
00842289100503|Needle Gauge|Gauge|15|
00842289100497|Length|Inch|1|
00842289100497|Needle Gauge|Gauge|15|
00842289100480|Length|Inch|1|
00842289100480|Needle Gauge|Gauge|15|
00842289100473|Length|Inch|1.25|
00842289100473|Needle Gauge|Gauge|16|
00842289100466|Length|Inch|1.25|
00842289100466|Needle Gauge|Gauge|16|
00842289100459|Length|Inch|1.25|
00842289100459|Needle Gauge|Gauge|16|
00842289100442|Length|Inch|1.25|
00842289100442|Needle Gauge|Gauge|15|
00842289100435|Length|Inch|1.25|
00842289100435|Needle Gauge|Gauge|15|
00842289100428|Length|Inch|1.25|
00842289100428|Needle Gauge|Gauge|15|
00842289100411|Length|Inch|1|
00842289100411|Needle Gauge|Gauge|17|
00842289100404|Length|Inch|1|
00842289100404|Needle Gauge|Gauge|17|
00842289100398|Length|Inch|1|
00842289100398|Needle Gauge|Gauge|17|
00842289100381|Length|Inch|1|
00842289100381|Needle Gauge|Gauge|17|
00842289100374|Length|Inch|1|
00842289100374|Needle Gauge|Gauge|17|
00842289100367|Length|Inch|1|
00842289100367|Needle Gauge|Gauge|17|
00842289100350|Length|Inch|1|
00842289100350|Needle Gauge|Gauge|16|
00842289100343|Length|Inch|1|
00842289100343|Needle Gauge|Gauge|16|
00842289100336|Length|Inch|1|
00842289100336|Needle Gauge|Gauge|16|
00842289100329|Length|Inch|1|
00842289100329|Needle Gauge|Gauge|16|
00842289100312|Length|Inch|1|
00842289100312|Needle Gauge|Gauge|16|
00842289100305|Length|Inch|1|
00842289100305|Needle Gauge|Gauge|16|
00842289100299|Length|Inch|1|
00842289100299|Needle Gauge|Gauge|15|
00842289100282|Length|Inch|1|
00842289100282|Needle Gauge|Gauge|15|
00842289100275|Length|Inch|1|
00842289100275|Needle Gauge|Gauge|15|
00842289100268|Length|Inch|1|
00842289100268|Needle Gauge|Gauge|15|
00842289100251|Length|Inch|1|
00842289100251|Needle Gauge|Gauge|15|
00842289100244|Length|Inch|1|
00842289100244|Needle Gauge|Gauge|15|
00842289100237|Length|Inch|1|
00842289100237|Needle Gauge|Gauge|14|
00842289100220|Length|Inch|1|
00842289100220|Needle Gauge|Gauge|14|
00842289100213|Length|Inch|1|
00842289100213|Needle Gauge|Gauge|14|
