PrimaryDI|storageHandlingType|storageHandlingHigh (Unit)|storageHandlingHigh (Value)|storageHandlingLow (Unit)|storageHandlingLow (Value)|storageHandlingSpecialConditionText
00842289102019|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102019|Special Storage Condition, Specify|||||Keep dry
00842289102002|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289102002|Special Storage Condition, Specify|||||Keep dry
00842289101999|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101999|Special Storage Condition, Specify|||||Keep dry
00842289101982|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101982|Special Storage Condition, Specify|||||Keep dry
00842289101975|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101975|Special Storage Condition, Specify|||||Keep dry
00842289101814|Special Storage Condition, Specify|||||Keep dry
00842289101814|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101807|Special Storage Condition, Specify|||||Keep dry
00842289101807|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101791|Special Storage Condition, Specify|||||Keep dry
00842289101791|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101784|Special Storage Condition, Specify|||||Keep dry
00842289101784|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101777|Special Storage Condition, Specify|||||Keep dry
00842289101777|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101760|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101760|Special Storage Condition, Specify|||||Keep dry
00842289101715|Special Storage Condition, Specify|||||Keep dry
00842289101715|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101500|Special Storage Condition, Specify|||||Keep dry
00842289101500|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101494|Special Storage Condition, Specify|||||Keep dry
00842289101494|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101487|Special Storage Condition, Specify|||||Keep dry
00842289101487|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101470|Special Storage Condition, Specify|||||Keep dry
00842289101470|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101463|Special Storage Condition, Specify|||||Keep dry
00842289101463|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101456|Special Storage Condition, Specify|||||Keep dry
00842289101456|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101449|Special Storage Condition, Specify|||||Keep dry
00842289101449|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101432|Special Storage Condition, Specify|||||Keep dry
00842289101432|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101425|Special Storage Condition, Specify|||||Keep dry
00842289101425|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101418|Special Storage Condition, Specify|||||Keep dry
00842289101418|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101401|Special Storage Condition, Specify|||||Keep dry
00842289101401|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101395|Special Storage Condition, Specify|||||Keep dry
00842289101395|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101388|Special Storage Condition, Specify|||||Keep dry
00842289101388|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101371|Special Storage Condition, Specify|||||Keep dry
00842289101371|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101364|Special Storage Condition, Specify|||||Keep dry
00842289101364|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101357|Special Storage Condition, Specify|||||Keep dry
00842289101357|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101340|Special Storage Condition, Specify|||||Keep dry
00842289101340|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101333|Special Storage Condition, Specify|||||Keep dry
00842289101333|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101326|Special Storage Condition, Specify|||||Keep dry
00842289101326|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101319|Special Storage Condition, Specify|||||Keep dry
00842289101319|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101302|Special Storage Condition, Specify|||||Keep dry
00842289101302|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101296|Special Storage Condition, Specify|||||Keep dry
00842289101296|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101289|Special Storage Condition, Specify|||||Keep dry
00842289101289|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101272|Special Storage Condition, Specify|||||Keep dry
00842289101272|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101241|Special Storage Condition, Specify|||||Keep dry
00842289101241|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101234|Special Storage Condition, Specify|||||Keep dry
00842289101234|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101227|Special Storage Condition, Specify|||||Keep dry
00842289101227|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101210|Special Storage Condition, Specify|||||Keep dry
00842289101210|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101203|Special Storage Condition, Specify|||||Keep dry
00842289101203|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101197|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289101197|Special Storage Condition, Specify|||||Keep dry
00842289100886|Special Storage Condition, Specify|||||Keep dry
00842289100886|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100503|Special Storage Condition, Specify|||||Keep dry
00842289100503|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100497|Special Storage Condition, Specify|||||Keep dry
00842289100497|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100480|Special Storage Condition, Specify|||||Keep dry
00842289100480|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100473|Special Storage Condition, Specify|||||Keep dry
00842289100473|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100466|Special Storage Condition, Specify|||||Keep  dry
00842289100466|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100459|Special Storage Condition, Specify|||||Keep dry
00842289100459|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100442|Special Storage Condition, Specify|||||Keep dry
00842289100442|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100435|Special Storage Condition, Specify|||||Keep dry
00842289100435|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100428|Special Storage Condition, Specify|||||Keep dry
00842289100428|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100411|Special Storage Condition, Specify|||||Keep dry
00842289100411|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100404|Special Storage Condition, Specify|||||Keep dry
00842289100404|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100398|Special Storage Condition, Specify|||||Keep dry
00842289100398|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100381|Special Storage Condition, Specify|||||Keep dry
00842289100381|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100374|Special Storage Condition, Specify|||||Keep dry
00842289100374|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100367|Special Storage Condition, Specify|||||Keep dry
00842289100367|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100350|Special Storage Condition, Specify|||||Keep dry
00842289100350|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100343|Special Storage Condition, Specify|||||Keep dry
00842289100343|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100336|Special Storage Condition, Specify|||||Keep dry
00842289100336|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100329|Special Storage Condition, Specify|||||Keep dry
00842289100329|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100312|Special Storage Condition, Specify|||||Keep dry
00842289100312|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
00842289100305|Special Storage Condition, Specify|||||Keep dry
00842289100305|Storage Environment Temperature|Degrees Celsius|40|Degrees Celsius|0|
